date,site,total_visitors,domestic_visitors,indian_visitors,international_visitors,temperature_c,rainfall_mm,festival,season
2013-10,Muktinath,7126,2514,3172,1440,8.4,13,0,post-monsoon
2017-01,Pashupatinath,72869,51813,12000,9056,9.7,17,0,winter
2010-04,Lumbini,66009,37382,18060,10567,27.6,21,0,pre-monsoon
2016-02,Pashupatinath,105504,73395,19763,12346,11.2,19,0,winter
2012-03,Lumbini,113395,63894,29363,20138,22.6,16,0,pre-monsoon
2014-08,Lumbini,46802,27980,12281,6541,29.4,282,0,monsoon
2024-09,Lumbini,73246,40326,19034,13886,29.2,263,0,post-monsoon
2015-01,Janakpur Dham,6059,3808,1743,508,13.1,11,0,winter
2012-09,Lumbini,"54,683",32300,14908,7475,27.8,253,0,post-monsoon
2024-12,Janakpur Dham,37812,24340,10106,3366,14.0,3,0,winter
2015-12,Muktinath,866,290,374,202,-2.7,5,0,winter
2014-09,Janakpur Dham,9582,6165,2581,836,28.2,237,0,post-monsoon
2015-06,Lumbini,29613,17739,7939,3935,31.4,222,0,  monsoon  
2010-07,Muktinath,780,262,343,175,14.2,64,0,  monsoon  
2010-09,Lumbini,44863,27138,11276,6449,29.1,202,0,post-monsoon
2015-10,Janakpur Dham,7978,5423,2252,303,25.5,40,0,post-monsoon
2022-11,Pashupatinath,88694,62165,17414,9115,15.1,8,0,post-monsoon
2024-09,Pashupatinath,59908,42390,11733,5785,21.0,209,0,post-monsoon
2022-02,Pashupatinath,113261,81134,19829,12298,12.4,,0,winter
2024-04,Janakpur Dham,30407,19255,8369,2783,29.9,23,0,pre-monsoon
2025-09,Janakpur Dham,17828,11832,4881,1115,29.5,224,0,post-monsoon
2013-01,Janakpur Dham,10490,7021,3118,351,14.1,11,0,winter
2016-01,Pashupatinath,66251,49312,11119,5820,9.5,13,0,winter
